OBJECTID,District,Route,County,Postmile,Descriptn,Back_pk_h,Back_pk_m,Back_AADT,Ahead_pk_h,Ahead_pk_m,Ahead_AADT,Lat_S_or_W,Lon_S_or_W,Lat_N_or_E,Lon_N_or_E
5819,4,185,ALA,10.519,"OAKLAND, HIGH/ 12TH STREET",300,3400,3300,0,0,0,37.772964777,-122.216252595,37.773048058,-122.2161479
7014,4,880S,ALA,0R,"BEG RIGHT ALIGN, PORT OF OAKLAND",0,0,0,8300,92000,90000,0,0,37.814245766,-122.300602188
7015,4,880S,ALA,1.257R,END RIGHT ALIGN AT WB 80,8300,92000,90000,0,0,0,0,0,37.825009213,-122.312312788
7016,4,880S,ALA,0L,BEGIN LEFT ALIGN. PORT OF OAKLAND,0,0,0,8000,89000,87000,37.814864701,-122.300647783,0,0
7017,4,880S,ALA,1.463L,END LEFT ALIGN,8000,89000,87000,0,0,0,37.823105922,-122.317926173,0,0
7054,4,880,ALA,27.709,"OAKLAND, JCT. RTE. 77",14300,216000,212000,14500,220000,216000,37.7670735486,-122.219601591,37.767228171,-122.219244429
7055,4,880,ALA,28.687,"OAKLAND, 29TH/FRUITVALE AVENUE",14500,220000,216000,14700,222000,218000,37.774983368,-122.23348398,37.7751389133,-122.233369392
7056,4,880,ALA,28.934,"OAKLAND, 23RD AVENUE",14700,222000,218000,15100,229000,225000,37.777244883,-122.236848629,37.777518161,-122.236831155
7057,4,880,ALA,29.8,"OAKLAND, EMBARCADERO",15100,229000,225000,14700,223000,219000,37.7866828931,-122.246419551,37.786925149,-122.246496547
7058,4,880,ALA,30.38,"OAKLAND, 10TH/5TH AVENUE",14700,223000,219000,14700,223000,219000,37.7896385604,-122.256652273,37.7897598906,-122.256632672
7059,4,880,ALA,31.091,OAK/MADISON STREET,14700,223000,219000,13100,198000,195000,37.7951544976,-122.266661335,37.795318049,-122.266542998
7060,4,880,ALA,31.23,"OAKLAND, JACKSON/ BROADWAY",13100,198000,195000,13200,199000,196000,37.7960724964,-122.268938751,37.7961974865,-122.268861055
7061,4,880,ALA,31.681,"OAKLAND, JCT. RTE. 980",13200,199000,196000,8400,127000,125000,37.7990046816,-122.276468606,37.7991552558,-122.276314697
7062,4,880,ALA,R32.79,ADELINE/UNION STREET,8400,127000,125000,8700,131000,129000,37.8018613884,-122.295888079,37.8021614459,-122.295484996
7063,4,880,ALA,R33.27,7TH STREET,8700,131000,129000,7600,115000,113000,37.8045171697,-122.303174163,37.8045252655,-122.30272491
7064,4,880,ALA,R33.92R,BEGIN RIGHT ALIGN,0,0,0,3800,57000,56000,0,0,37.8132921671,-122.302016965
7065,4,880,ALA,R34.18R,CONNECT TO SAN FRANCISCO-OAKLAND BAY BRIDGE,3800,57000,56000,2400,35000,34000,0,0,37.8155178024,-122.298635478
7066,4,880,ALA,R34.7R,WEST GRAND AVENUE,2400,35000,34000,2800,41000,40000,0,0,37.821344812,-122.292823965
7067,4,880,ALA,R35.797R,"EAST JCT. RTE. 80, END RIGHT ALIGN",2800,41000,40000,0,0,0,0,0,37.835652493,-122.295497156
7068,4,880,ALA,R33.92L,BEGIN LEFT ALIGN,0,0,0,3900,58000,57000,37.8134707065,-122.302409259,0,0
7069,4,880,ALA,R34.18L,CONNECT TO SAN FRANCISCO-OAKLAND BAY BRIDGE,3900,58000,57000,2600,38000,37000,37.8159794667,-122.299219248,0,0
7070,4,880,ALA,R34.7L,WEST GRAND AVENUE,2600,38000,37000,2800,41000,40000,37.8214802582,-122.29304365,0,0
7071,4,880,ALA,R35.4L,"WEST JCT. RTE. 80, END LEFT ALIGN",2800,41000,40000,0,0,0,37.8312112881,-122.293883621,0,0
7087,4,980,ALA,0.009,"OAKLAND, JCT. RTE. 880",0,0,0,6600,96000,92400,37.798803174,-122.276330354,37.799143267,-122.276152929
7088,4,980,ALA,0.702,"OAKLAND, FOURTEENTH STREET",6600,96000,92400,7000,101000,97700,37.8069762861,-122.278056857,37.80688,-122.277795333
7089,4,980,ALA,0.904,"OAKLAND, 18TH STREET",7000,101000,97700,10200,145000,140700,37.809591001,-122.276294999,37.80949,-122.276034999
7090,4,980,ALA,2.036,"OAKLAND, JCT. RTE. 580",10200,145000,140700,0,0,0,37.824367655,-122.268591195,37.824233014,-122.268031151
